"CLIENTE","ANNO","DATA"
"VITO VIOLA Per  CLINICA VILLA SALUS (ME)","1998","2018"
VITO VIOLA Per CLINICA VILLA SALUS (ME),1998,
VITO VIOLA Per CLINICA VILLA SALUS (ME),1998,               ____
VITO VIOLA Per CLINICA VILLA SALUS (ME),1998,               ____
MED LAB  FRANCIA,1998,N° 003DEL 12/05/98
MED LAB  FRANCIA,1998,N° 003DEL 12/05/98
MED LAB  FRANCIA,1998,N° 003DEL 12/05/98
MED LAB  FRANCIA,1998,N° 003DEL 12/05/98
MED LAB  FRANCIA,1998,N° 003DEL 12/05/98
MED LAB  FRANCIA,1998,N° 003DEL 12/05/98
MED LAB  FRANCIA,1998,N° 003DEL 12/05/98
MED LAB  FRANCIA,1998,N° 003DEL 12/05/98
MED LAB  FRANCIA,1998,N° 003DEL 12/05/98
MED LAB  FRANCIA,1998,N° 003DEL 12/05/98
MED LAB  FRANCIA,1998,N° 003DEL 12/05/98
 Osp.  UDINE,1998,N° 012DEL 30/05/98
 Osp.  UDINE,1998,N° 012DEL 30/05/98
 Osp.  UDINE,1998,N° 012DEL 30/05/98
Osp. SACCO  MILANO,1998,N° 011DEL 30/05/98
Osp. SACCO  MILANO,1998,N° 011DEL 30/05/98
Osp. SACCO  MILANO,1998,N° 011DEL 30/05/98
Osp. SACCO  MILANO,1998,N° 011DEL 30/05/98
Osp. SACCO  MILANO,1998,N° 011DEL 30/05/98
Osp. SACCO  MILANO,1998,N° 011DEL 30/05/98
Osp. SACCO  MILANO,1998,N° 011DEL 30/05/98
Osp. SACCO  MILANO,1998,N° 011DEL 30/05/98
Osp. SACCO  MILANO,1998,N° 011DEL 30/05/98
Osp. SACCO  MILANO,1998,N° 011DEL 30/05/98
